Категория;Товар;Цена;ID валюты;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;ISBN
Для детей/Познавательные;Cars Trains Ships and Planes;14.29;1;cars-trains-ships-and-planes;1;0;Dorling Kindersley;;;L30594;1;9.78141E+12
Для детей/Познавательные;Careers Handbook,The Paperback];14;1;careers-handbookthe-paperback;1;0;Dorling Kindersley;;;L30593;1;9.78024E+12
Для детей/Познавательные;Car Book,The;23.33;1;car-bookthe;1;0;Dorling Kindersley;;;L30592;1;9.78141E+12
Для детей/Творчество и досуг;Captain America: The Ultimate Guide to the First Avenger;15.12;1;captain-america-the-ultimate-guide-to-the-first-avenger;1;0;Dorling Kindersley;;;L30591;1;9.78024E+12
Для взрослых/Познавательные;Business Book,The;15.87;1;business-bookthe;1;0;Dorling Kindersley;;;L30590;1;9.78141E+12
Для взрослых/Познавательные;Britain from Above Month by Month;14.67;1;britain-from-above-month-by-month;1;0;Dorling Kindersley;;;L30589;1;9.78141E+12
Для взрослых/Познавательные;Brain Book,The 2nd Edition;21.01;1;brain-bookthe-2nd-edition;1;0;Dorling Kindersley;;;L30588;1;9.78141E+12
Для детей/Развивающие;Boys' Potty Time;4.21;1;boys-potty-time;1;0;Dorling Kindersley;;;L30587;1;9.78141E+12
Для детей/Развивающие;Boys' Noisy Potty Book;5.97;1;boys-noisy-potty-book;1;0;Dorling Kindersley;;;L30586;1;9.78141E+12
Для детей/Творчество и досуг;Boys' Book of Things to Make,The;9.55;1;boys-book-of-things-to-makethe;1;0;Dorling Kindersley;;;L30585;1;9.78141E+12
Для взрослых/Творчество и досуг;Botany for the Artist: An Inspirational Guide to Drawing Plants;23.33;1;botany-for-the-artist-an-inspirational-guide-to-drawing-plants;1;0;Dorling Kindersley;;;L30584;1;9.78141E+12
Для взрослых/Творчество и досуг;Bonsai;12.45;1;bonsai;1;0;Dorling Kindersley;;;L30583;1;9.78141E+12
Для взрослых/Художественные;Bond on Set Filming Skyfall;20.93;1;bond-on-set-filming-skyfall;1;0;Dorling Kindersley;;;L30582;1;9.78141E+12
Для взрослых/Познавательные;Bike Repair Manual 5th Edition;10.88;1;bike-repair-manual-5th-edition;1;0;Dorling Kindersley;;;L30581;1;9.78141E+12
Для детей/Развивающие;Big Noisy Book of Trains, The;8.4;1;big-noisy-book-of-trains-the;1;0;Dorling Kindersley;;;L30580;1;9.78024E+12
Для детей/Развивающие;Big Noisy  Book of Planes,The;8.4;1;big-noisy-book-of-planesthe;1;0;Dorling Kindersley;;;L30579;1;9.78024E+12
Для взрослых/Познавательные;Big Ideas That Changed the World [Paperback];10.93;1;big-ideas-that-changed-the-world-paperback;1;0;Dorling Kindersley;;;L30578;1;9.78141E+12
