Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        Let’s Learn English New 1 CD (1);;;;2.00006E+12;;;Нет;Нет;38.00 грн;шт
        Let’s Learn English New 2 CD (1);;;;2.00006E+12;;;Нет;Нет;38.00 грн;шт
        ML Inter CB CD2;;;;0;;;Нет;Нет;96.00 грн;шт
        ML Upper-inter PF CD1;;;;0;;;Нет;Нет;40.00 грн;шт
        Opportunities  New Beginner CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
        Opportunities  New Elem CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
        Opportunities  New Upper-Interm CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
        Snapshot  New Elem CD3;;;;0;;;Нет;Нет;36.00 грн;шт
        Total English  Advanced CD (2);;;;0;;;Нет;Нет;75.00 грн;шт
        Total English Elem CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Total English Interm CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Total English Pre-Inter CD (2);;;;0;;;Нет;Нет;75.00 грн;шт
        Total English Starter CD (2);;;;0;;;Нет;Нет;75.00 грн;шт
        Total English Upper-Interm CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
    Audio Oxford;;;;;;;;;;
        BKWM As Inspector Said CD1;;;;0;;;Нет;Нет;12.00 грн;шт
        BKWM Chemical secret CD1;;;;0;;;Нет;Нет;12.00 грн;шт
        BKWM David Copperfield CD2;;;;0;;;Нет;Нет;24.00 грн;шт
        BKWM Dr Jekyll CD2;;;;0;;;Нет;Нет;24.00 грн;шт
        BKWM Phantom of opera CD1;;;;0;;;Нет;Нет;12.00 грн;шт
        BKWM Skyjak CD1;;;;0;;;Нет;Нет;12.00 грн;шт
        BKWM The jungle book CD1;;;;0;;;Нет;Нет;12.00 грн;шт
        BKWM Wizard of OZ CD1;;;;0;;;Нет;Нет;12.00 грн;шт
    Audio разное;;;;;;;;;;
        Listen songs Football Hits CD(2);;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs for children book 1 CD(1);;;;2.00005E+12;;;Нет;Нет;12.00 грн;шт
        Listen songs for children book 2 CD(1);;;;2.00006E+12;;;Нет;Нет;12.00 грн;шт
        Listen songs for children book 3 CD(1);;;;2.00006E+12;;;Нет;Нет;12.00 грн;шт
        Listen songs for children New book 1 CD(1);;;;2.00007E+12;;;Нет;Нет;12.00 грн;шт
        Listen songs Golden Rock Hits Queen, Beatles,Scorpions CD;;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs Romantic Hits CD(2);;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs Scorpions CD;;;;2.00005E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol. 1-2 CD;;;;2.00005E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol. 3-4 CD;;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol. 5-6 CD;;;;2.00005E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol. 7 CD;;;;2.00005E+12;;;Нет;Нет;12.00 грн;шт
        Listen songs vol. 8 CD;;;;2.00005E+12;;;Нет;Нет;12.00 грн;шт
        Listen songs vol. 9-10 CD;;;;2.00005E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol.11-12 CD;;;;2.00005E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol.13-14 CD;;;;2.00005E+12;;;Нет;Нет;24.00 грн;шт
        Listen songs vol.15-16 CD;;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
    Berlitz Publishing;;;;;;;;;;
        Berlitz Language: Fun with English: Letters (3-5 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with English: Reading (4-6 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with English: Words (4-6 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with English: Writing (3-5 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with Learning: Counting (3-5 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with Learning: Numbers (4-6 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with Learning: Shapes (3-5 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: Fun with Learning: Sorting (4-6 years);;;;9.78981E+12;;;Нет;Нет;144.00 грн;шт
        Berlitz Language: My First 1000 Words English;;;;9.78981E+12;;;Нет;Нет;179.00 грн;шт
        Berlitz Language: My First Picture Dictionary;;;;9.78981E+12;;;Нет;Нет;215.00 грн;шт
        Berlitz Russian Concise Dictionary;;;;9.78981E+12;;;Нет;Нет;313.00 грн;шт
    Bloomsbury;;;;;;;;;;
        Abbey Road;;;Lawrence, A.;9.78141E+12;;;Нет;Нет;1 800.00 грн;шт
